TIMESTEP,Chihuahuan Deserts
11/15/1968,6.592873
12/15/1968,0.47525564
1/16/1969,3.874476
2/16/1969,6.0207505
3/15/1969,7.3024125
4/15/1969,12.478953
5/15/1969,16.117971
6/15/1969,23.166986
7/15/1969,22.448217
8/15/1969,22.711916
9/15/1969,20.00036
10/15/1969,13.275477
11/15/1969,8.997677
12/15/1969,-0.685799
1/16/1970,-0.5372918
2/16/1970,3.0124145
3/15/1970,6.1351547
4/15/1970,9.357622
5/15/1970,15.9811735
6/15/1970,21.258793
7/15/1970,24.3385
8/15/1970,21.751028
9/15/1970,18.495146
10/15/1970,11.868042
11/15/1970,6.9649496
12/15/1970,0.27923274
1/16/1971,0.008005303
2/16/1971,3.5818837
3/15/1971,8.729898
4/15/1971,11.981708
5/15/1971,16.302172
6/15/1971,22.05209
7/15/1971,22.407106
8/15/1971,20.545822
9/15/1971,17.876022
10/15/1971,13.185414
11/15/1971,6.789026
12/15/1971,3.3306866
1/16/1972,3.2529788
2/16/1972,5.749235
3/15/1972,7.7055955
4/15/1972,12.302832
5/15/1972,17.289688
6/15/1972,23.943213
7/15/1972,24.921997
8/15/1972,21.83119
9/15/1972,18.050852
10/15/1972,13.359133
11/15/1972,3.9214408
12/15/1972,1.5805783
1/16/1973,1.8034047
2/16/1973,4.5244126
3/15/1973,6.482094
4/15/1973,13.223169
5/15/1973,18.206549
6/15/1973,20.816212
7/15/1973,22.702295
8/15/1973,21.863039
9/15/1973,17.85038
10/15/1973,11.891378
11/15/1973,6.026778
12/15/1973,2.6703584
1/16/1974,2.595795
2/16/1974,4.6832876
3/15/1974,4.6606374
4/15/1974,11.890505
5/15/1974,14.607736
6/15/1974,21.30761
7/15/1974,23.123032
8/15/1974,22.941109
9/15/1974,19.143682
10/15/1974,11.727852
11/15/1974,5.0242434
12/15/1974,0.58702856
1/16/1975,-0.59954756
2/16/1975,0.1359318
3/15/1975,7.702249
4/15/1975,9.413776
5/15/1975,16.32501
6/15/1975,20.017277
7/15/1975,23.869394
8/15/1975,21.451273
9/15/1975,17.768404
10/15/1975,13.732932
11/15/1975,7.279604
12/15/1975,1.0329504
1/16/1976,1.7192819
2/16/1976,3.5328972
3/15/1976,7.970857
4/15/1976,9.502247
5/15/1976,16.925014
6/15/1976,20.877222
7/15/1976,23.181551
8/15/1976,22.125628
9/15/1976,19.485352
10/15/1976,14.865421
11/15/1976,7.3819785
12/15/1976,1.9664896
1/16/1977,1.0178298
2/16/1977,7.021608
3/15/1977,8.073286
4/15/1977,11.958969
5/15/1977,15.106538
6/15/1977,22.832268
7/15/1977,25.307869
8/15/1977,23.990107
9/15/1977,21.297955
10/15/1977,11.061417
11/15/1977,4.682363
12/15/1977,3.385147
1/16/1978,0.44471946
2/16/1978,3.898692
3/15/1978,6.4349604
4/15/1978,10.7989235
5/15/1978,16.461494
6/15/1978,20.390038
7/15/1978,22.577816
8/15/1978,22.33449
9/15/1978,18.373535
10/15/1978,13.795111
11/15/1978,6.8130555
12/15/1978,1.5655324
1/16/1979,0.20016342
2/16/1979,3.2322705
3/15/1979,6.6250076
4/15/1979,10.6860075
5/15/1979,17.282728
6/15/1979,21.019209
7/15/1979,24.138262
8/15/1979,22.133522
9/15/1979,18.939875
10/15/1979,14.265102
11/15/1979,3.621781
12/15/1979,0.31085417
1/16/1980,1.5222763
2/16/1980,1.0595496
3/15/1980,8.080439
4/15/1980,13.798058
5/15/1980,16.707445
6/15/1980,20.793375
7/15/1980,23.440561
8/15/1980,22.25485
9/15/1980,19.427624
10/15/1980,13.120437
11/15/1980,6.592496
12/15/1980,2.5935647
1/16/1981,3.2947931
2/16/1981,6.415508
3/15/1981,7.6326375
4/15/1981,13.102986
5/15/1981,16.641861
6/15/1981,21.61198
7/15/1981,23.029783
8/15/1981,21.599077
9/15/1981,17.590357
10/15/1981,13.582218
11/15/1981,7.15484
12/15/1981,1.539003
1/16/1982,1.7000347
2/16/1982,4.488569
3/15/1982,6.109602
4/15/1982,13.134612
5/15/1982,16.30573
6/15/1982,21.33573
7/15/1982,24.118483
8/15/1982,22.844006
9/15/1982,20.927109
10/15/1982,15.230057
11/15/1982,4.64666
12/15/1982,1.8800337
1/16/1983,1.4071528
2/16/1983,5.5269384
3/15/1983,8.128301
4/15/1983,12.769327
5/15/1983,15.812824
6/15/1983,21.066292
7/15/1983,24.22199
8/15/1983,21.85864
9/15/1983,18.304642
10/15/1983,13.951918
11/15/1983,7.5870204
12/15/1983,1.1221648
1/16/1984,0.9171645
2/16/1984,2.9572818
3/15/1984,7.3050904
4/15/1984,10.37227
5/15/1984,15.403243
6/15/1984,20.252756
7/15/1984,21.94725
8/15/1984,21.464018
9/15/1984,18.316463
10/15/1984,10.22789
11/15/1984,6.871533
12/15/1984,0.4087365
1/16/1985,0.41512752
2/16/1985,2.7744849
3/15/1985,7.3742876
4/15/1985,11.978427
5/15/1985,16.768047
6/15/1985,20.573269
7/15/1985,23.167192
8/15/1985,22.172285
9/15/1985,20.065636
10/15/1985,12.558553
11/15/1985,6.899484
12/15/1985,0.7329103
1/16/1986,0.10488782
2/16/1986,3.5329292
3/15/1986,5.539413
4/15/1986,12.510931
5/15/1986,18.590187
6/15/1986,22.92983
7/15/1986,23.816053
8/15/1986,22.368416
9/15/1986,18.125263
10/15/1986,12.418402
11/15/1986,8.400822
12/15/1986,2.8976042
1/16/1987,4.967746
2/16/1987,6.3980517
3/15/1987,8.111588
4/15/1987,11.563681
5/15/1987,16.028559
6/15/1987,21.857758
7/15/1987,23.597755
8/15/1987,23.706974
9/15/1987,20.299444
10/15/1987,13.55705
11/15/1987,6.150407
12/15/1987,3.511329
1/16/1988,4.222747
2/16/1988,5.1198707
3/15/1988,4.646725
4/15/1988,13.763134
5/15/1988,17.664656
6/15/1988,22.634428
7/15/1988,22.024225
8/15/1988,23.736477
9/15/1988,19.192564
10/15/1988,12.871754
11/15/1988,5.749159
12/15/1988,-0.79378074
1/16/1989,3.0229394
2/16/1989,6.6153326
3/15/1989,9.256019
4/15/1989,11.035049
5/15/1989,16.862062
6/15/1989,21.19128
7/15/1989,23.187338
8/15/1989,23.031584
9/15/1989,17.976433
10/15/1989,12.56264
11/15/1989,5.7920876
12/15/1989,3.244611
1/16/1990,4.2355943
2/16/1990,5.307049
3/15/1990,8.4425745
4/15/1990,12.747677
5/15/1990,17.297277
6/15/1990,21.683094
7/15/1990,24.023296
